algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
BZ2,10,20,1878.50x,2.246197,0.010070,0.001856,0.000177,0.000021,0.095014
BZ2,10,21,1878.50x,2.015772,0.009466,0.001895,0.000175,0.000024,0.088637
BZ2,10,22,1878.50x,1.939389,0.009728,0.001865,0.000195,0.000032,0.088555
BZ2,10,23,1878.50x,2.244809,0.009677,0.001828,0.000181,0.000027,0.095374
BZ2,10,24,1878.50x,2.011770,0.009469,0.001887,0.000202,0.000028,0.088878
BZ2,10,25,1878.50x,1.937292,0.021037,0.002135,0.000193,0.000025,0.088672
BZ2,10,26,1878.50x,2.243283,0.009752,0.001872,0.000190,0.000029,0.096102
BZ2,10,27,1878.50x,2.013027,0.009066,0.001849,0.000193,0.000029,0.088904
BZ2,10,28,1878.50x,1.935204,0.009590,0.001936,0.000198,0.000030,0.088646
BZ2,10,29,1878.50x,2.242842,0.009507,0.001841,0.000181,0.000028,0.094711
BZ2,10,30,1878.50x,2.014096,0.020049,0.001795,0.000189,0.000031,0.088918
BZ2,10,31,1878.50x,1.935988,0.020631,0.001871,0.000187,0.000029,0.089085
BZ2,50,1,1917.59x,9.801012,0.060445,0.018575,0.000276,0.000025,0.475520
BZ2,50,2,1917.59x,9.800147,0.047678,0.019941,0.000267,0.000025,0.490533
BZ2,50,3,1917.59x,9.804629,0.046582,0.020730,0.000232,0.000019,0.486223
BZ2,50,4,1917.59x,9.804510,0.049602,0.019846,0.000165,0.000018,0.489070
BZ2,50,5,1917.59x,9.803975,0.046402,0.020781,0.000254,0.000025,0.489766
BZ2,50,6,1917.59x,9.821064,0.047052,0.019838,0.000168,0.000019,0.482706
BZ2,50,7,1917.59x,9.804121,0.047590,0.020254,0.000267,0.000025,0.491239
BZ2,50,8,1917.59x,9.805099,0.047257,0.020030,0.000259,0.000025,0.486201
BZ2,50,9,1917.59x,9.822112,0.048508,0.020288,0.000166,0.000019,0.482630
BZ2,50,10,1917.59x,9.810068,0.047583,0.019799,0.000266,0.000025,0.486884
BZ2,50,11,1917.59x,9.809497,0.048080,0.020808,0.000274,0.000025,0.487560
BZ2,50,12,1917.59x,9.820427,0.048624,0.020380,0.000170,0.000019,0.483566
BZ2,50,13,1917.59x,9.811118,0.047592,0.020249,0.000181,0.000021,0.487668
BZ2,50,14,1917.59x,9.809285,0.046245,0.021047,0.000286,0.000025,0.488316
BZ2,50,15,1917.59x,9.822022,0.048522,0.020189,0.000180,0.000019,0.483181
BZ2,50,16,1917.59x,9.803096,0.044659,0.020925,0.000254,0.000019,0.486338
BZ2,50,17,1917.59x,9.793126,0.047096,0.020412,0.000268,0.000026,0.485143
BZ2,50,18,1917.59x,9.805940,0.045914,0.020411,0.000269,0.000028,0.482462
BZ2,50,19,1917.59x,9.791790,0.047313,0.020095,0.000166,0.000019,0.489614
BZ2,50,20,1917.59x,9.786340,0.048223,0.020246,0.000272,0.000025,0.486504
BZ2,50,21,1917.59x,9.804798,0.046897,0.020849,0.000173,0.000034,0.481575
BZ2,50,22,1917.59x,9.794153,0.058046,0.019962,0.000278,0.000025,0.489313
BZ2,50,23,1917.59x,9.791196,0.045526,0.021007,0.000266,0.000019,0.488857
BZ2,50,24,1917.59x,9.802068,0.046671,0.020956,0.000253,0.000019,0.482801
BZ2,50,25,1917.59x,9.793445,0.047617,0.020132,0.000191,0.000019,0.489404
BZ2,50,26,1917.59x,9.789927,0.045140,0.020773,0.000267,0.000026,0.486773
BZ2,50,27,1917.59x,9.802227,0.047318,0.020249,0.000266,0.000025,0.483340
BZ2,50,28,1917.59x,9.792875,0.047561,0.020149,0.000170,0.000018,0.487376
